TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
200800A,532220,Formal wear & costume rental,110,$30024817.00
200500A,531100,Lessors of real estate (including mini warehouses & self-storage units),25539,$6307528319.76
200500A,812930,Parking lots & garages,784,$268053890.29
200600A,314000,Textile product mills,269,$192301343.00
200900A,722300,Special food services (including food service contractors & caterers),761,$175733556.00
201700A,888888,Medical Marijuana Collective,3,$0.00
201400A,453930,Manufacture (mobile) home dealers,57,$24746634.00
200500A,516110,Internet publishing & broadcasting,607,$96574160.50
201400A,453210,Office supplies & stationery stores,325,$258189022.00
200700A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",167,$63684966.00
201500A,712100,"Museums, historical sites, & similar institutions",17,$11289292.00
200500A,811430,Footwear & leather goods repair,105,$4603054.00
200700A,621400,Outpatient  care centers,216,$159127976.00
200700A,541800,Advertising & related services,1079,$952768653.00
201100A,233220,Multifamily Housing Construction (1997 NAICS),836,$1016472577.88
201700A,448210,Shoe stores,8,$1446813.00
201000A,888888,Medical Marijuana Collective,256,$42446905.00
200900A,524210,Insurance agencies & brokerages,831,$493402414.58
200700A,621391,Offices of podiatrists,81,$17618908.00
201200A,561710,Exterminating & pest control services,220,$68773899.00
200500A,442200,Home furnishings stores,574,$569564021.25
201700A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",82,$2372629.00
201200A,561110,Office administrative services,1475,$706754479.43
201100A,313000,Textile mills,101,$36838890.00
201500A,513330,Telecommunications Resellers,6,$8202722.00
200500A,561410,Document preparation services,35,$5975565.40
200800A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",109,$1670158766.40
201300A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",4963,$483820866.03
201700A,562000,Waste management & remediation services,14,$3002855.00
201200A,623000,Nursing & residential care facilities,522,$720677786.00
201500A,423100,Motor vehicle & motor vehicle parts & supplies,938,$2101399725.32
201400A,448320,Luggage & leather goods stores,106,$64560228.00
201500A,531390,Other activities related to real estate,1408,$487073346.00
200700A,423500,Metal & mineral (except petroleum),245,$330070922.00
201200A,332000,Fabricated metal product mfg.,286,$487730907.97
201500A,541940,Veterinary services,280,$285504795.00
201000A,311400,Fruit & vegetable preserving & speciality food mfg.,158,$100035256.00
